text,Lexical_Density
well I could I could talk youknow,57.14285714285714
remember,0.0
when it was like the end of August,75.0
it was infact it was Labor Day,57.14285714285714
but I youknow I I when I was sick I didnt I I I was in intensive care when I go off with the,68.0
like a,100.0
only four weeks on,25.0
but I I I I,80.0
well and and and my family called and xxx and xxx,9.090909090909092
and then,0.0
they have a,66.66666666666666
they shipped me out in an ambulance ten oclock at night,54.54545454545454
and I and I and I couldnt w I I was in a wheelchair youknow,56.25
and a stretcher,33.33333333333333
and I couldnt talk,40.0
and then and then and then theres,12.5
my own daughter and my wife and my sister was there,36.36363636363637
and they didnt leave,40.0
and then I I fell asleep I think,37.5
and then hallofasudden,0.0
I was I was outof the Ranger game,62.5
I have a,66.66666666666666
and then and then I was in an ambulance,44.44444444444444
and I I I couldnt talk but Id say,36.36363636363637
where are you taking because it a it a long ride,72.72727272727273
youknow I was in there,40.0
and I went to the hospital in n but I I didnt know where I was going,55.55555555555556
and he said,33.33333333333333
and I said,33.33333333333333
and then I I say,40.0
I dont even known what I was going,55.55555555555556
it was and then I couldnt talk,50.0
and I was det little sad,33.33333333333333
and I would,66.66666666666666
and the guy said,25.0
he said I said,50.0
and hes,33.33333333333333
it was like forty five minutes,33.33333333333333
and I said,33.33333333333333
but I couldnt talk youknow,33.33333333333333
it was t,66.66666666666666
and they took me in and they a,62.5
I said,50.0
it was a scary thing youknow,50.0
but in the morning heres a big room,37.5
everybody a big room xxx,40.0
inside of it is like a suite,85.71428571428571
and one of those those dv,50.0
and like youknow xxx,0.0
HelenHayes is on the water in front of the in the HenryHudson river,61.53846153846154
I said,50.0
then then my family came,20.0
and and I was there alotof alot of the times,40.0
I and then and then and they he kept me rolling,36.36363636363637
just xxx,0.0
pull and talking in,25.0
he had me do the exercise and everything,50.0
and then s youknow said I and I gotta get better,25.0
last year I couldnt and this year last year I was in the hospital,46.666666666666664
oh this Adler was a,60.0
I I mean I HelenHayes helped me alot,50.0
but they say the insurance and everything,42.857142857142854
and then they say,25.0
I said,50.0
I couldnt talk,50.0
and and then it was like February and they say,40.0
I said,50.0
and then then then and youknow and then one thing about HelenHayes they never talk about aphasia,17.647058823529413
youknow,0.0
a few times but I didnt know what aphasia was,45.45454545454545
and my speech teachers they said,33.33333333333333
so,0.0
but but the doctors never,20.0
she never,50.0
the doctors,50.0
I didnt know because and I would I was thinking that Im gonna get youknow well and I can drive again,50.0
but and youknow once I was like the ladies explained it to me,61.53846153846154
and then the and Jeannine and Karen and dksu,11.11111111111111
when I got here theres youknow its gonna be better but its not gonna be all the time youknow,40.909090909090914
so Im Im dealing with it,75.0
but this I this was like a lifesaver to me because I I think all about how Im gonna,71.42857142857143
they then they they say,60.0
and and I said,25.0
one of the things I have,50.0
I useta read all the time,50.0
now I,50.0
I tried and tried and tried,16.666666666666664
but,0.0
I I I cant I cant do it,70.0
so,0.0
well this place it plpsu,40.0
so I one of the classes I take is BookClub,50.0
its I I its my favorite class the BookClub,55.55555555555556
ohboy if I have no Adler I I dont know what I would do,60.0
because Im I Im I was an active guy,63.63636363636363
I was an iron worker in NewYorkCity,57.14285714285714
and and then and then I have a heart attack,20.0
and but I I I was getting around,62.5
and then I had a stroke and I said whoa boy,27.27272727272727
and then I and then I say whoa,25.0
and then I I cant even read or nothing,40.0
I said,50.0
and I didnt even like television,42.857142857142854
oh oh I could write a book,42.857142857142854
I I have alotof things happen to me,50.0
but,0.0
I have three children,25.0
and youknow and youknow my u ught wife she have she no,33.33333333333333
well I I I I dont wanna talk about it while Gretchen is there but but she had tough deliveries,47.61904761904761
but when my r daughter was born,42.857142857142854
and she liked to go there,16.666666666666664
and we didnt make it,50.0
and we and the the baby come out,50.0
and and I I dlivdu,40.0
my son,50.0
its the,100.0
yeah I I I got them the I I have them at the hospital,71.42857142857143
and u,0.0
and then I just get in and and it was she couldnt call me,46.666666666666664
I a nurse geu,50.0
I said,50.0
I said,50.0
and I said,33.33333333333333
it was ohboy I I never I I Im not I I I think Ive its appropriate not appropriate for you to you to to see that but,56.666666666666664
it it and but important r person in my life xxx,36.36363636363637
and she shes a she is a youknow I know,63.63636363636363
I cant deny I Im my daughter was the best thing that ever,53.333333333333336
I have two sons good good good sons,12.5
but my daughter is shes the best,50.0
and,0.0
you didnt know that one I I delivered to Gloranne right,50.0
thats it,66.66666666666666
I I I I I I I I I I,100.0
I what mighta made me think of that I dont know but maybe,50.0
okay,0.0
okay,0.0
the the the kids playing with the soccer ball,55.55555555555556
and his father watching the tv,33.33333333333333
and maybe but it but it they tick,37.5
and the the fathers mad,40.0
thats all,66.66666666666666
www,0.0
okay the the the kid theres a little,55.55555555555556
I dont know,50.0
its a boy or a girl,50.0
but a mother tells her kid to its gonna rain,36.36363636363637
and the the kid dont wanna take the umbrella,40.0
and then hes raining out and in,50.0
and mommy knows best,0.0
and the the kid got the umbrella,42.857142857142854
www,0.0
okay,0.0
Suzy cat the the the the the cat the the the,72.72727272727273
Suvy is get the the the the the kitten,66.66666666666666
the the kitten and,50.0
he he got the the the kitten the cat he gonna stuck up a tree,56.25
and the father wants to help them but he,33.33333333333333
and the dogs are barking,40.0
and he hes just he he the poppa is having a tough day,50.0
and then he hafta to get a fireman who how to get him out the tree,43.75
he looks like,66.66666666666666
maybe a Hurricane Katrina,25.0
he he a rescue guy that is going t t,50.0
he he he is drowning in he he he like maybe its a river,71.42857142857143
and then the girl and the rescue worker hafta try to get a belt,21.428571428571427
and and and hes having a rough time getting the belt through to the little the young girl,42.10526315789473
I just told you I have a daughter,50.0
yeah,0.0
www,0.0
well she she Cinder Cinderella she she she had a stepmother and two stepsisters,42.857142857142854
and they they a be mean to her all the time,72.72727272727273
and then and there was gonna be a ball,30.0
and and a firey,25.0
and and all and the mouses,33.33333333333333
and and then he he she turns Cinderella into a princess,45.45454545454545
and he they go to the ball,57.14285714285714
and then and then the prince he he he likes her youknow,41.66666666666667
but she got in her carriage and everything but he she hasta be home by twelve twelve oclock,38.88888888888889
and then and and when she and she because of she she loses all of the stuff youknow,55.55555555555556
and e she and and she run,28.57142857142857
and then she loses her shoe,33.33333333333333
and then the the the prince he he goes all ok looking for the countryside looking for the glass skipper,50.0
and everything and then and e and then allofasudden she said,18.181818181818183
and they say,33.33333333333333
and he said,33.33333333333333
and they and they happy ever after,42.857142857142854
www,0.0
Id order it in a deli,42.857142857142854
ah the heck,33.33333333333333
bread peanut butter jelly,0.0
and then then you make a sandwich,28.57142857142857
I dont know I wasnt a,62.5
okay,0.0
thats it,66.66666666666666
youknow WholeFoods,0.0
nine dollars for a jar of peanut butter,37.5
and I said,33.33333333333333
not good,0.0
Im not Im not good at this,44.44444444444444
Im not good at this,50.0
oh s yes one two three four five years ago,0.0
xxx five years ago yeah,0.0
I dont know,50.0
yeah I know it but I have I I have I I have I have I I I I,63.1578947368421
wait a second,33.33333333333333
I learned du,33.33333333333333
when I have a I have a I have a I have a,69.23076923076923
all of it for one,80.0
allofasudden,0.0
I was sleeping,66.66666666666666
I was I h I was in the I was in the I I I I was the the the Overbrook Hospital,81.81818181818183
and allofasudden,0.0
allofasudden boomo,0.0
some,100.0
and thats it now,40.0
it was it was terrible,80.0
well I I yeah well a alot of them,55.55555555555556
