text,Lexical_Density
alright,0.0
a a specific event or,40.0
and that was a once in a lifetime kind of experience,54.54545454545454
I was with initially five other people,42.857142857142854
two of them dropped out partway through the trip,55.55555555555556
because they they didnt consider it safe,62.5
but it was it was a fascinating trip to see,50.0
and we paddled in one case past two days of forest,36.36363636363637
and the smoke we hadta put cloths over our mouths to to,33.33333333333333
the the paddling itself was not particularly onerous,50.0
but we did paddle alot,20.0
we paddled nine or ten hours a day,25.0
we we averaged about seventy two kilometers a day on on,45.45454545454545
covered almost fourteen hundred kilometers on the whole,25.0
and it surprisingly enough although we were on a,66.66666666666666
you cant see a half inch into the water,50.0
so we hadta find side streams that were clear inorderto get,27.27272727272727
it was,100.0
typical day I I get up fairly early in the morning about,50.0
I either go into the office to to work there,30.0
or I work from home by dialing in on my on my computer,61.53846153846154
I work on designing a database or solving problems around,40.0
and I work right through until five or six oclock depending,27.27272727272727
I take a break for lunch,50.0
and thats prettymuch my workday,50.0
I come home or am at home and have supper with my,41.66666666666667
sometimes just watching television sometimes going out,14.285714285714285
sometimes I going out to to the lodge,62.5
okay,0.0
okay the the story is a boy was playing soccer,50.0
he kicked the soccer ball,40.0
and it went through the window of a house and broke the window,46.15384615384615
and the man was sitting in the chair nextto the lamp,45.45454545454545
and he picked up the soccer ball and looked out the window to,38.46153846153847
a woman was giving her child an umbrella,50.0
the child was it was saying they didnt need the umbrella,58.333333333333336
and it began to rain,20.0
and the child ran home and was all wet,22.22222222222222
and mother was angry at him for not for getting wet,45.45454545454545
and he went back outside after hed got dry clothes and with,30.76923076923077
ah,0.0
cat went up in a tree,50.0
and a man went up to retrieve the cat using a ladder,33.33333333333333
the ladder has fallen down,60.0
and the so the man had trouble getting out,33.33333333333333
the dog was barking up the tree for no particular reason that,58.333333333333336
and the firemen had been called to rescue now both the cat and the,35.714285714285715
my granddaughter would never forgive me if I didnt,50.0
yeah,0.0
okay,0.0
okay,0.0
Cinderella lived with her aunt,40.0
her her her,100.0
so aunt but she had three stepsisters,14.285714285714285
and they always gave her the dirty jobs to do around the house,38.46153846153847
and then she met a good fairy who,37.5
oh sorry,0.0
they and these the these the wicked the the,77.77777777777779
and they got dressed up to go,42.857142857142854
and Cinderella was to stay at home and not go to the ball,30.76923076923077
the the good fairy came and made her waved her,40.0
and then she went to the ball where she captured the interest,50.0
and but the problem was the Cinderella hadta leave,33.33333333333333
because the coach that she came in which the good fairy had,58.333333333333336
and Cinderella would be back in her old in her,60.0
so she ran out,50.0
but as she ran she lost one of the slippers the the,58.333333333333336
and then he went searching throughout his kingdom to try and,27.27272727272727
and he came to the house of the where where,70.0
and the stepsisters their feet were too big and would not fit,33.33333333333333
and Cinderella tried was allowed to try the shoe,22.22222222222222
and it fit,33.33333333333333
and eref and she went off to marry the prince and live,25.0
yeah,0.0
the bus is coming,50.0
the tour bus is coming,40.0
the tour bus is coming into the town,50.0
the tour bus is coming into the town to pick up the people,46.15384615384615
the tour bus is coming into the town to pick up the people from the,53.333333333333336
the tour bus is coming into town to pick up the people from the,50.0
okay,0.0
the dog chased the cat up the tree,50.0
the bird was caught by the worm,57.14285714285714
would you like to star in a movie,50.0
books like to read children,0.0
icecream tastes good in the summer,33.33333333333333
beautiful flowers smell the lovely woman,16.666666666666664
count to ten as fast as you can,50.0
the man saw the boy that the dog chased,44.44444444444444
tell me the name of the person next door,55.55555555555556
how many are in a dozen,66.66666666666666
the tiger was clawed by the lion,57.14285714285714
bad weather was caused by long airplane delays,25.0
excellent,0.0
when I was three years old,50.0
I have a very vivid memory of being left with my sister and having,42.857142857142854
and it was the summer of nineteen forty six,44.44444444444444
and my sister and I was I were playing,55.55555555555556
and this young gal wanted me to go to have a nap in the,35.714285714285715
and I was protesting,50.0
and I was so upset,40.0
I went into the bedroom waited a few minutes and snuck outof the,38.46153846153847
I did,50.0
well youknow youre Winnipeg was a smaller city,33.33333333333333
and it was different in nineteen forty six,37.5
and I knew the way,40.0
I being in the car the kids they pick it up fast,66.66666666666666
so yes you asked for memory,33.33333333333333
there it is,66.66666666666666
okay yesterday I was at home in the morning,55.55555555555556
because we were entertaining some people that were coming over,70.0
we had some some of some of my children came,70.0
and with a couple of my grandchildren were two or,50.0
and then we had some guests that useta live in Winnipeg,36.36363636363637
so that was for part of the day til about two oclock,41.66666666666667
I then walked my grandson of two and a half years of age from,42.857142857142854
I fear it was a good quite a walk for him,72.72727272727273
and he did it all,60.0
and then I stayed a little at my sisters and my daughters,41.66666666666667
and then from there I visited my one of my sons,45.45454545454545
and then we came home,20.0
and I basically I watched the,50.0
I took my wife to to zumba class at Baycrest village,27.27272727272727
and then we watched the Gray I watched the Graycomb,40.0
that was my day,75.0
yeah,0.0
in these pictures,66.66666666666666
well the first one is this kid kicks the ball,40.0
and it looks like it breaks a window goes through the window,50.0
and then the man thats sitting there picks up the ball and is,42.857142857142854
one seems to have an umbrella,16.666666666666664
and shes looking to give it to her daughter,50.0
who the daughter takes it,60.0
unless she takes it,75.0
we cant tell that,60.0
starts to rain,0.0
doesnt look like the daughter takes it actually,44.44444444444444
well so up in paragraph three its raining,25.0
kids getting wet very wet,20.0
kid comes home looks like all wet,28.57142857142857
mothers not happy,0.0
and then the kid takes the umbrella the the umbrella,40.0
well theres a man stuck in a tree,44.44444444444444
and the dog is barking,40.0
and the girls trying to get the cat off the tree,36.36363636363637
and shes got a little tricycle there,37.5
and theres a ladder,40.0
but bod now on come the fireman I guess to help him,25.0
what do you want me to tell you,62.5
Cinderella a young girl who lived with an a,55.55555555555556
and she did all the work around the house,55.55555555555556
she was treated very badly,40.0
