text,sentiment,sentiment_category
alright,0.0,neutral
a a specific event or,0.0,neutral
and that was a once in a lifetime kind of experience,0.6,positive
I was with initially five other people,0.0,neutral
two of them dropped out partway through the trip,0.0,neutral
because they they didnt consider it safe,0.5,positive
but it was it was a fascinating trip to see,0.7,positive
and we paddled in one case past two days of forest,-0.25,negative
and the smoke we hadta put cloths over our mouths to to,0.0,neutral
the the paddling itself was not particularly onerous,0.16666666666666666,positive
but we did paddle alot,0.0,neutral
we paddled nine or ten hours a day,0.0,neutral
we we averaged about seventy two kilometers a day on on,0.0,neutral
covered almost fourteen hundred kilometers on the whole,0.2,positive
and it surprisingly enough although we were on a,0.0,neutral
you cant see a half inch into the water,-0.16666666666666666,negative
so we hadta find side streams that were clear inorderto get,0.10000000000000002,positive
it was,0.0,neutral
typical day I I get up fairly early in the morning about,-0.033333333333333326,negative
I either go into the office to to work there,0.0,neutral
or I work from home by dialing in on my on my computer,0.0,neutral
I work on designing a database or solving problems around,0.0,neutral
and I work right through until five or six oclock depending,0.2857142857142857,positive
I take a break for lunch,0.0,neutral
and thats prettymuch my workday,0.0,neutral
I come home or am at home and have supper with my,0.0,neutral
sometimes just watching television sometimes going out,0.0,neutral
sometimes I going out to to the lodge,0.0,neutral
okay,0.5,positive
okay the the story is a boy was playing soccer,0.5,positive
he kicked the soccer ball,0.0,neutral
and it went through the window of a house and broke the window,0.0,neutral
and the man was sitting in the chair nextto the lamp,0.0,neutral
and he picked up the soccer ball and looked out the window to,0.0,neutral
a woman was giving her child an umbrella,0.0,neutral
the child was it was saying they didnt need the umbrella,0.0,neutral
and it began to rain,0.0,neutral
and the child ran home and was all wet,-0.1,negative
and mother was angry at him for not for getting wet,-0.3,negative
and he went back outside after hed got dry clothes and with,-0.022222222222222216,negative
ah,0.0,neutral
cat went up in a tree,0.0,neutral
and a man went up to retrieve the cat using a ladder,0.0,neutral
the ladder has fallen down,0.0,neutral
and the so the man had trouble getting out,-0.2,negative
the dog was barking up the tree for no particular reason that,0.16666666666666666,positive
and the firemen had been called to rescue now both the cat and the,0.0,neutral
my granddaughter would never forgive me if I didnt,0.0,neutral
yeah,0.0,neutral
okay,0.5,positive
okay,0.5,positive
Cinderella lived with her aunt,0.0,neutral
her her her,0.0,neutral
so aunt but she had three stepsisters,0.0,neutral
and they always gave her the dirty jobs to do around the house,-0.6,negative
and then she met a good fairy who,0.7,positive
oh sorry,-0.5,negative
they and these the these the wicked the the,0.0,neutral
and they got dressed up to go,0.0,neutral
and Cinderella was to stay at home and not go to the ball,0.0,neutral
the the good fairy came and made her waved her,0.7,positive
and then she went to the ball where she captured the interest,0.0,neutral
and but the problem was the Cinderella hadta leave,0.0,neutral
because the coach that she came in which the good fairy had,0.7,positive
and Cinderella would be back in her old in her,0.05,positive
so she ran out,0.0,neutral
but as she ran she lost one of the slippers the the,0.0,neutral
and then he went searching throughout his kingdom to try and,0.0,neutral
and he came to the house of the where where,0.0,neutral
and the stepsisters their feet were too big and would not fit,0.2,positive
and Cinderella tried was allowed to try the shoe,0.0,neutral
and it fit,0.4,positive
and eref and she went off to marry the prince and live,0.13636363636363635,positive
yeah,0.0,neutral
