text,sentiment,sentiment_category
well I could talk youknow,0.0,neutral
remember,0.0,neutral
when it was like the end of August,0.0,neutral
it was infact it was Labor Day,0.0,neutral
but I youknow I when I was sick I didnt I was in intensive care when I go off with the,-0.7142857142857143,negative
like a,0.0,neutral
only four weeks on,0.0,neutral
but I,0.0,neutral
well and my family called and xxx,0.0,neutral
and then,0.0,neutral
they have a,0.0,neutral
they shipped me out in an ambulance ten oclock at night,0.0,neutral
and I couldnt w I was in a wheelchair youknow,0.0,neutral
and a stretcher,0.0,neutral
and I couldnt talk,0.0,neutral
and then theres,0.0,neutral
my own daughter and my wife and my sister was there,0.0,neutral
and they didnt leave,0.0,neutral
and then I fell asleep I think,0.0,neutral
and then hallofasudden,0.0,neutral
I was outof the Ranger game,-0.4,negative
I have a,0.0,neutral
and then I was in an ambulance,0.0,neutral
and I couldnt talk but Id say,0.0,neutral
where are you taking because it a long ride,-0.05,negative
youknow I was in there,0.0,neutral
and I went to the hospital in n but I didnt know where I was going,0.0,neutral
and he said,0.0,neutral
and I said,0.0,neutral
and then I say,0.0,neutral
I dont even known what I was going,0.0,neutral
it was and then I couldnt talk,0.0,neutral
and I was det little sad,-0.34375,negative
and I would,0.0,neutral
and the guy said,0.0,neutral
he said I said,0.0,neutral
and hes,0.0,neutral
it was like forty five minutes,0.0,neutral
and I said,0.0,neutral
but I couldnt talk youknow,0.0,neutral
it was t,0.0,neutral
and they took me in and they a,0.0,neutral
I said,0.0,neutral
it was a scary thing youknow,-0.5,negative
but in the morning heres a big room,0.0,neutral
everybody a big room xxx,0.0,neutral
inside of it is like a suite,0.0,neutral
and one of those dv,0.0,neutral
and like youknow xxx,0.0,neutral
HelenHayes is on the water in front of the in the HenryHudson river,0.0,neutral
I said,0.0,neutral
then my family came,0.0,neutral
and I was there alotof alot of the times,0.0,neutral
I and then and they he kept me rolling,0.0,neutral
just xxx,0.0,neutral
pull and talking in,0.0,neutral
he had me do the exercise and everything,0.0,neutral
and then s youknow said I and I gotta get better,0.5,positive
last year I couldnt and this year last year I was in the hospital,0.0,neutral
oh this Adler was a,0.0,neutral
I mean I HelenHayes helped me alot,-0.3125,negative
but they say the insurance and everything,0.0,neutral
and then they say,0.0,neutral
I said,0.0,neutral
I couldnt talk,0.0,neutral
and then it was like February and they say,0.0,neutral
I said,0.0,neutral
and then and youknow and then one thing about HelenHayes they never talk about aphasia,0.0,neutral
youknow,0.0,neutral
a few times but I didnt know what aphasia was,0.0,neutral
and my speech teachers they said,0.0,neutral
so,0.0,neutral
but the doctors never,0.0,neutral
she never,0.0,neutral
the doctors,0.0,neutral
I didnt know because and I would I was thinking that Im gonna get youknow well and I can drive again,0.0,neutral
but and youknow once I was like the ladies explained it to me,0.0,neutral
and then the and Jeannine and Karen and dksu,0.0,neutral
when I got here theres youknow its gonna be better but its not gonna be all the time youknow,0.5,positive
so Im dealing with it,0.0,neutral
but this I this was like a lifesaver to me because I think all about how Im gonna,0.0,neutral
they then they say,0.0,neutral
and I said,0.0,neutral
one of the things I have,0.0,neutral
I useta read all the time,0.0,neutral
now I,0.0,neutral
I tried and tried,0.0,neutral
but,0.0,neutral
I cant do it,0.0,neutral
so,0.0,neutral
well this place it plpsu,0.0,neutral
so I one of the classes I take is BookClub,0.0,neutral
its I its my favorite class the BookClub,0.5,positive
ohboy if I have no Adler I dont know what I would do,0.0,neutral
because Im I was an active guy,-0.13333333333333333,negative
I was an iron worker in NewYorkCity,0.0,neutral
and then I have a heart attack,0.0,neutral
and but I was getting around,0.0,neutral
and then I had a stroke and I said whoa boy,0.0,neutral
and then I and then I say whoa,0.0,neutral
and then I cant even read or nothing,0.0,neutral
I said,0.0,neutral
and I didnt even like television,0.0,neutral
oh I could write a book,0.0,neutral
I have alotof things happen to me,0.0,neutral
but,0.0,neutral
I have three children,0.0,neutral
and youknow my u ught wife she have she no,0.0,neutral
well I dont wanna talk about it while Gretchen is there but she had tough deliveries,-0.3888888888888889,negative
but when my r daughter was born,0.0,neutral
and she liked to go there,0.6,positive
and we didnt make it,0.0,neutral
and we and the baby come out,0.0,neutral
and I dlivdu,0.0,neutral
my son,0.0,neutral
its the,0.0,neutral
yeah I got them the I have them at the hospital,0.0,neutral
and u,0.0,neutral
and then I just get in and it was she couldnt call me,0.0,neutral
I a nurse geu,0.0,neutral
I said,0.0,neutral
I said,0.0,neutral
and I said,0.0,neutral
it was ohboy I never I Im not I think Ive its appropriate not appropriate for you to see that but,0.5,positive
it and but important r person in my life xxx,0.4,positive
and she shes a she is a youknow I know,0.0,neutral
I cant deny I Im my daughter was the best thing that ever,1.0,positive
I have two sons good sons,0.7,positive
but my daughter is shes the best,1.0,positive
and,0.0,neutral
you didnt know that one I delivered to Gloranne right,0.2857142857142857,positive
thats it,0.0,neutral
I,0.0,neutral
I what mighta made me think of that I dont know but maybe,0.0,neutral
okay,0.5,positive
okay,0.5,positive
the kids playing with the soccer ball,0.0,neutral
and his father watching the tv,0.0,neutral
and maybe but it they tick,0.0,neutral
and the fathers mad,-0.625,negative
thats all,0.0,neutral
www,0.0,neutral
okay the kid theres a little,0.15625,positive
I dont know,0.0,neutral
its a boy or a girl,0.0,neutral
but a mother tells her kid to its gonna rain,0.0,neutral
and the kid dont wanna take the umbrella,0.0,neutral
and then hes raining out and in,0.0,neutral
and mommy knows best,1.0,positive
and the kid got the umbrella,0.0,neutral
www,0.0,neutral
okay,0.5,positive
Suzy cat the,0.0,neutral
Suvy is get the kitten,0.0,neutral
the kitten and,0.0,neutral
he got the kitten the cat he gonna stuck up a tree,0.0,neutral
and the father wants to help them but he,0.0,neutral
and the dogs are barking,0.0,neutral
and he hes just he the poppa is having a tough day,-0.3888888888888889,negative
and then he hafta to get a fireman who how to get him out the tree,0.0,neutral
he looks like,0.0,neutral
maybe a Hurricane Katrina,0.0,neutral
he a rescue guy that is going t,0.0,neutral
he is drowning in he like maybe its a river,0.0,neutral
and then the girl and the rescue worker hafta try to get a belt,0.0,neutral
and hes having a rough time getting the belt through to the little the young girl,-0.06249999999999999,negative
I just told you I have a daughter,0.0,neutral
yeah,0.0,neutral
www,0.0,neutral
well she Cinder Cinderella she had a stepmother and two stepsisters,0.0,neutral
and they a be mean to her all the time,-0.3125,negative
and then and there was gonna be a ball,0.0,neutral
and a firey,0.0,neutral
and all and the mouses,0.0,neutral
and then he she turns Cinderella into a princess,0.0,neutral
and he they go to the ball,0.0,neutral
and then the prince he likes her youknow,0.0,neutral
but she got in her carriage and everything but he she hasta be home by twelve oclock,0.0,neutral
and then and when she and she because of she loses all of the stuff youknow,-0.3,negative
and e she and she run,0.0,neutral
and then she loses her shoe,-0.3,negative
and then the prince he goes all ok looking for the countryside looking for the glass skipper,0.5,positive
and everything and then and e and then allofasudden she said,0.0,neutral
and they say,0.0,neutral
and he said,0.0,neutral
and they happy ever after,0.8,positive
www,0.0,neutral
Id order it in a deli,0.0,neutral
