text,intra_sentence_similarity
alright,0.999999881
a a specific event or,0.472161859
and that was a once in a lifetime kind of experience,0.344262987
I was with initially five other people,0.33708778
two of them dropped out partway through the trip,0.297482252
because they they didnt consider it safe,0.43458125
but it was it was a fascinating trip to see,0.316052854
and we paddled in one case past two days of forest,0.253528982
and the smoke we hadta put cloths over our mouths to to,0.290813029
the the paddling itself was not particularly onerous,0.462756693
but we did paddle alot,0.312996715
we paddled nine or ten hours a day,0.252218634
we we averaged about seventy two kilometers a day on on,0.248209804
covered almost fourteen hundred kilometers on the whole,0.365750492
and it surprisingly enough although we were on a,0.35575965
you cant see a half inch into the water,0.194449246
so we hadta find side streams that were clear inorderto get,0.351274341
it was,0.562905312
typical day I I get up fairly early in the morning about,0.256209224
I either go into the office to to work there,0.335824788
or I work from home by dialing in on my on my computer,0.235068843
I work on designing a database or solving problems around,0.305826843
and I work right through until five or six oclock depending,0.27272889
I take a break for lunch,0.32059747
and thats prettymuch my workday,0.354053676
I come home or am at home and have supper with my,0.24344717
sometimes just watching television sometimes going out,0.478574783
sometimes I going out to to the lodge,0.354053617
okay,0.99999994
okay the the story is a boy was playing soccer,0.24760367
he kicked the soccer ball,0.346853614
and it went through the window of a house and broke the window,0.326999068
and the man was sitting in the chair nextto the lamp,0.352449954
and he picked up the soccer ball and looked out the window to,0.275639683
a woman was giving her child an umbrella,0.300029933
the child was it was saying they didnt need the umbrella,0.269082844
and it began to rain,0.326358408
and the child ran home and was all wet,0.272354722
and mother was angry at him for not for getting wet,0.252424926
and he went back outside after hed got dry clothes and with,0.248987362
ah,1
cat went up in a tree,0.244953603
and a man went up to retrieve the cat using a ladder,0.238092005
the ladder has fallen down,0.343800843
and the so the man had trouble getting out,0.340428323
the dog was barking up the tree for no particular reason that,0.302352488
and the firemen had been called to rescue now both the cat and the,0.337829709
my granddaughter would never forgive me if I didnt,0.366499394
yeah,1
okay,0.99999994
okay,0.99999994
Cinderella lived with her aunt,0.326945156
her her her,0.999999881
so aunt but she had three stepsisters,0.348157018
and they always gave her the dirty jobs to do around the house,0.274587691
and then she met a good fairy who,0.275713027
oh sorry,0.671609104
they and these the these the wicked the the,0.545382559
and they got dressed up to go,0.29170531
and Cinderella was to stay at home and not go to the ball,0.239097521
the the good fairy came and made her waved her,0.324689567
and then she went to the ball where she captured the interest,0.346740365
and but the problem was the Cinderella hadta leave,0.345379829
because the coach that she came in which the good fairy had,0.299771011
and Cinderella would be back in her old in her,0.260772645
so she ran out,0.331719935
but as she ran she lost one of the slippers the the,0.268229902
and then he went searching throughout his kingdom to try and,0.331073582
and he came to the house of the where where,0.399986833
and the stepsisters their feet were too big and would not fit,0.291441709
and Cinderella tried was allowed to try the shoe,0.265809715
and it fit,0.414818168
and eref and she went off to marry the prince and live,0.300572067
yeah,1
the bus is coming,0.341236979
the tour bus is coming,0.307354391
the tour bus is coming into the town,0.292292655
the tour bus is coming into the town to pick up the people,0.253877163
the tour bus is coming into the town to pick up the people from the,0.273548394
the tour bus is coming into town to pick up the people from the,0.253392577
okay,0.99999994
the dog chased the cat up the tree,0.313502759
the bird was caught by the worm,0.299321711
would you like to star in a movie,0.278155863
books like to read children,0.395715892
icecream tastes good in the summer,0.302864581
beautiful flowers smell the lovely woman,0.404414326
count to ten as fast as you can,0.285591513
the man saw the boy that the dog chased,0.311406016
tell me the name of the person next door,0.249622315
how many are in a dozen,0.296016812
the tiger was clawed by the lion,0.347063869
bad weather was caused by long airplane delays,0.273301542
excellent,1
when I was three years old,0.294427186
I have a very vivid memory of being left with my sister and having,0.265391946
and it was the summer of nineteen forty six,0.331396818
and my sister and I was I were playing,0.285239756
and this young gal wanted me to go to have a nap in the,0.22948201
and I was protesting,0.36137563
and I was so upset,0.318568915
I went into the bedroom waited a few minutes and snuck outof the,0.196156964
I did,0.688738763
well youknow youre Winnipeg was a smaller city,0.202464297
and it was different in nineteen forty six,0.341498643
and I knew the way,0.329225957
I being in the car the kids they pick it up fast,0.25402227
so yes you asked for memory,0.337940842
there it is,0.514013052
okay yesterday I was at home in the morning,0.258854032
because we were entertaining some people that were coming over,0.435013056
we had some some of some of my children came,0.332818866
and with a couple of my grandchildren were two or,0.271783531
and then we had some guests that useta live in Winnipeg,0.285202682
so that was for part of the day til about two oclock,0.214294061
I then walked my grandson of two and a half years of age from,0.207315519
I fear it was a good quite a walk for him,0.289023757
and he did it all,0.370176077
and then I stayed a little at my sisters and my daughters,0.276804566
and then from there I visited my one of my sons,0.260058433
and then we came home,0.377039999
and I basically I watched the,0.366476476
I took my wife to to zumba class at Baycrest village,0.194685206
and then we watched the Gray I watched the Graycomb,0.292715043
that was my day,0.345009506
yeah,1
in these pictures,0.478866577
well the first one is this kid kicks the ball,0.295092106
and it looks like it breaks a window goes through the window,0.336003482
and then the man thats sitting there picks up the ball and is,0.290406317
one seems to have an umbrella,0.297903359
and shes looking to give it to her daughter,0.29100129
who the daughter takes it,0.311257482
unless she takes it,0.424609184
we cant tell that,0.367603838
starts to rain,0.421858162
doesnt look like the daughter takes it actually,0.29973799
well so up in paragraph three its raining,0.28257373
kids getting wet very wet,0.439955175
kid comes home looks like all wet,0.34525907
mothers not happy,0.551338494
and then the kid takes the umbrella the the umbrella,0.393884927
well theres a man stuck in a tree,0.253783792
and the dog is barking,0.372440696
and the girls trying to get the cat off the tree,0.290280014
and shes got a little tricycle there,0.27080667
and theres a ladder,0.323696941
but bod now on come the fireman I guess to help him,0.250278294
what do you want me to tell you,0.521695197
Cinderella a young girl who lived with an a,0.297716409
and she did all the work around the house,0.365108669
she was treated very badly,0.378907919
and life was pretty harsh for her,0.295305729
so one day an invitation comes sent by the royalty that theres,0.234949321
and ofcourse the prince is gonna be there,0.247843638
and and the the two sisters and the mother are very excited,0.421802521
and they plan out how theyre what theyre gonna wear and,0.287276328
Cinderella wants to go but they make fun of her you see,0.265394807
they say,0.634096324
what if she cant go to this,0.324084699
youre just a nothing,0.441436768
so they ultimately get all dressed up and go to the ball one,0.301771313
and Cinderellas left behind,0.349689722
and then along outof the blue comes this fairy godmother who,0.26003778
and she basically turns all her rags into wonderful clothes,0.312834144
and he,0.547172546
and her both horses suddenly emerge,0.382265389
and shes whisked away to the ball,0.236018121
and shes given a warning that she that before she sets,0.319317281
she says youknow the fairy godmother tells her,0.296050638
you hafta be home by midnight or everythings gonna turn back to,0.207632527
loandbehold she goes to the ball,0.308626205
princess,1.000000119
but nothing woulda struck his fancy,0.34817344
but then he sees Cinderella,0.3379879
and after that its happiness for all of them,0.401581466
theyre just having a great time,0.40373829
then she suddenly realizes its close to midnight,0.367920578
and she rushes down the stairs leaves a slipper behind,0.300691217
and she gets into the chariot and heads home,0.319696695
but shes lost her shoe,0.276088208
and shes back to where she was,0.308471859
and xxx comes,0.355920732
there she is working away still,0.366261721
and then theres an announcement that the prince is trying to,0.311293662
and he still has the shoe,0.323289067
and he wants looks to wants to find the match,0.312699407
anyways he goes around from home to home in all the kingdom,0.281040996
and ofcourse it doesnt work,0.336262435
they ask if anybody else is there,0.39861238
and sure enough the they they they pretend shes not,0.40174064
but ultimately she she gets a crack at it and tries it on,0.284696937
and its a perfect fit,0.382541656
and well he she ends up happily with the prince,0.301831603
there it is,0.514013052
my granddaughter of five could probably do it better,0.27368468
sure,0.999999881
the bus is coming,0.341236979
the tour bus is coming,0.307354391
the tour bus is coming into the town,0.292292655
the tour bus is coming into the town to pick up the people,0.253877163
the tour bus is coming into the town to pick up the people from the,0.273548394
the tour bus is coming into the town to pick up people from the,0.253392577
the fact that it doesnt make sense,0.37890631
not as easy to do I should tell you if it doesnt make sense,0.350766838
the dog chased the cat up the tree,0.313502759
the bird was caught by the worm,0.299321711
would you like to star in a movie,0.278155863
books like to read children,0.395715892
icecream tastes good in the summer,0.302864581
beautiful flowers smell the lovely woman,0.404414326
count to ten as fast as you can,0.285591513
the man saw the boy that the dog chased,0.311406016
tell me the name of the person next door,0.249622315
how many are in a dozen,0.296016812
the tiger was clawed by the lion,0.347063869
bad weather was caused by long airplane delays,0.273301542
sounds like a ten minute interview,0.27206108
I hafta think about the scenario for two minutes and then talk,0.243649825
it was important to me to get into law school,0.2724033
that was something that happened that was very important,0.493871182
I have no idea why I was accepted because I dont think I met any,0.329177082
thirty two,0.79858613
I was thirty two when I started,0.331090778
so I guess I was thirty one when I applied,0.35358876
and in my year the median age was twenty two,0.273145616
so I was one of the oldest in the class had nothing in common,0.282727689
Imean they still remembered highschool,0.455276847
who thought about highschool,0.448958725
and they all knew eachother from highschool,0.376528442
and they were there because they didnt get into medical school or,0.307781518
and I was just flummoxed,0.346880913
I was just sitting in this room listening to these people who came,0.290543735
they were just there because,0.580820262
well I guess it was the best thing that they could do under the,0.330279946
and I was there because I just really cared,0.431499988
and so I really didnt fit in really,0.320915371
it was at the end of the first year when I made my first real,0.252866536
up until then I was friendly with people but I didnt understand,0.275294065
and it was very limited because we were told to get into study,0.265544355
and I never spoke in class because I could never understand what,0.344918877
ke they asked questions for which the answers seemed obvious,0.297948956
why would anybody say the obvious,0.406257987
so people said the obvious,0.38611874
and they were rewarded,0.449195325
so those were the people sought after to be in the study groups,0.334060997
not me,0.624586225
so I did almost everything alone for the entire year,0.32020995
and when I asked to borrow one of my friends notes she said she,0.240553051
so I said,0.480681747
thanks but no thanks,0.524217308
dont bother,0.548084855
and somewhere along the line I found a group that really didnt,0.289809465
and just anybody who wanted to could be part of it,0.310613573
so that was me,0.420665801
so I was part of that group for some classes,0.303362846
at the end of the year in the subway station I met someone who,0.22846128
but we had been divided into two groups of fifty or seventy,0.280747741
and she was in the other group,0.394171268
so I never saw her,0.402804643
and in second year things improved a bit because then I think I,0.292864382
and that was good,0.418417931
ke once I had a couple of friends to talk to and especially one,0.256393641
as an example of the incredible snobbiness of the school and the,0.43227756
and he said,0.372952074
please when you write your exams dont think that your mark is,0.30821377
and I thought,0.462097377
wow it is so amazing to hear something like that,0.351298839
and I said that to someone in my class who completely disparaged,0.289095879
it was in law school that I learned that competentq was a,0.314507484
oh hes a competent lawyer,0.231347799
and that the positive term was brightq,0.445492327
if you werent bright you were nobody,0.326522171
so because he wasnt bright the students didnt respect him,0.262905449
and I made the mistake of saying to someone,0.307072192
youknow yeah okay but hes decent,0.328602612
ke hes a decent person,0.265712321
he has a heart,0.387082338
and she said,0.380783647
a heart,0.585828066
I didnt come to Oz where this one doesnt have a brain and this,0.251390159
I came to law school,0.302660495
didnt talk to her again,0.321348071
UofT,1
UofT was and continues to try to be the Harvard of Canada,0.249151841
I dont know why,0.510981023
and I also didnt understand that law schools had their own kind of,0.27490136
but I didnt I didnt know that,0.436302096
I didnt even get it until after I left,0.313762635
so really it wasnt the right school for me,0.287656903
I really should have gone to York,0.347861469
but when I came to Toronto people were saying,0.311818302
oh UofT,0.443278164
its the best school,0.422498345
and why would you wanna be way out at York,0.241068497
youre in Toronto,0.285547912
you wanna be downtown,0.349927783
so I thought,0.627347827
okay I wanna be downtown,0.337345958
so I was downtown,0.354079902
boy kicks the ball,0.338545382
flies into a glass window breaks the window and falls into the,0.358231604
it knocks over the lamp,0.315597624
the man stands up holding the ball looking out the window to see,0.314203441
it looks like hes got his gun in the ck pocket,0.190666959
okay the mother tells the child to take an umbrella,0.255087823
and the child doesnt want one,0.284646571
oh the but in this in the second one the,0.38048619
well oh oh oh oh oh I see,0.525387526
so the mother offers the child the umbrella,0.344409138
the child refuses,0.489458501
the child says,0.397241682
goodbye,0.999999881
goes outside,0.574881673
its raining,0.675891876
its really raining,0.518869281
and the kid runs home soaking wet goes to the mother whos not,0.217677131
well whats happening is that firefighters are rushing,0.343428373
but it looks like what happened is that the little girls cat was,0.335157186
the man climbed up the tree to save the cat,0.258294821
and then he got stuck,0.338713616
and then the firemen are coming to save the man,0.337955236
maybe the cat was chasing the bird,0.302043766
no I think the dog was chasing the cat,0.266104728
am I allowed to make it a xxx,0.259695619
the bane of feminists everywhere Cinderellas story about a,0.285827011
and I dont think we find out how she got to that situation but,0.314897776
and the stepmother and stepsisters basically treated her like a,0.416665077
she always she hadta do all the cleaning and all the cooking,0.376560718
and she didnt get to go shopping for new clothes,0.234285027
and she wasnt given the best food to eat,0.214001462
and anyway she was just treated horribly,0.349668771
one day the stepmother and the two stepsisters get an,0.318072081
Cinderella thinking shes a member of the family thinks she can,0.227989256
but she cant,0.378255695
so she has to help the two stepsisters and stepmother get,0.286430031
and then they go,0.455607891
after they leave shes very disappointed because she really wanted,0.378600121
and somehow or another her fairy godmother appears and tells her,0.347139418
so she gives her a beautiful dress to wear lovely new shoes and,0.275224745
and the only rule is be back by twelve,0.294027209
so Cinderella went to the ball,0.258767247
she had a wonderful time,0.374810636
nobody knew who she was,0.420877218
everybody was saying,0.485376239
oh whos that woman,0.284943253
whos that woman,0.384003997
the prince danced with her the whole evening,0.393404275
she had a lovely time,0.3668966
and then as the clock was striking twelve she realized she hadta,0.327901781
so she ran out,0.331719935
in running out she lost one of her shoes which was a glass slipper,0.220902398
following that the prince found the missing slipper,0.418976098
and he wanted to find the woman who went with the slipper,0.273820281
so he traveled all over the kingdom trying the shoe on womens,0.262386739
it didnt fit anybody,0.406810611
finally he made it to the home of the stepmother and two ugly,0.284721226
and he tried it on their feet,0.278068513
it didnt fit any of them,0.29009071
and he saw Cinderella and said,0.258879125
why dont you try it,0.481469512
or possibly she said,0.343866169
why dont I try it,0.463827014
and he tried it on,0.325914204
and it fit,0.414818168
and he was ecstatic because he had found the love of his life after,0.315888345
and she of ofcourse being swept off her feet agreed,0.223109111
that shed just go back to slavery and doing dishes and laundry and,0.322101742
but the book doesnt take you that far,0.305910289
it only takes you to the part where they meet and they fall in,0.333091825
ofcourse,1.000000119
the bus is coming,0.341236979
the tour bus is coming,0.307354391
the tour bus is coming into the town,0.292292655
the tour bus is coming into the town to pick up the people,0.253877163
the tour bus is coming into the town to pick up the people from the,0.273548394
the tour bus is coming into the town to pick up the people at the,0.259161144
the dog chased the cat up the tree,0.313502759
the bird was caught by the worm,0.299321711
would you like to star in a movie,0.278155863
books like to read children,0.395715892
icecream tastes good in the summer,0.302864581
beautiful flowers smelled the lovely women,0.404684365
count to ten as fast as you can,0.285591513
the man saw the boy that the dog chased,0.311406016
tell me the name of the person next door,0.249622315
how many are in a dozen,0.296016812
the tiger was clawed by the lion,0.347063869
bad weather was caused by long airplane delays,0.273301542
know the answer,0.448963493
okay,0.99999994
okay,0.99999994
means well go with our marriage,0.319052994
we didnt want to have a church ceremony,0.265912771
so we found the JP,0.279967129
this is in SanDiego California by the way,0.302030414
we found the JP but he was way the heck and gone east of,0.220674708
so we drove out to this little teensy tiny town called Boulevard,0.22617501
and then a few months later we learned that there was actually,0.340899348
so but it was still interesting,0.486013412
not too many people know where Boulevard is,0.301305503
these days Im the cleaner of the house and washer of the,0.270142674
and Im also one of the players with the cats,0.280809104
so we do that,0.553373039
I watch way too much television,0.353422642
spend alotof time on my computer,0.283367097
Im working on a project and reading books,0.259139478
and reading constantly reading books,0.575884283
alright okay,0.848262727
so kid kicks a kicks the football through the window,0.257512897
right,0.999999821
so kids out in the field kicking the ball around by himself,0.285506934
and he accidentally we will assume kicks it through the,0.298894048
and man inside the,0.458285987
and knocks over a lamp breaking the window and and probably,0.345625013
and the guy stands up with the ball in his hand and looks out,0.299900383
and I guess hes going to get prepared to yell at the kid,0.210968331
kid goes off to school,0.27894631
mama says,0.486499816
take your umbrella,0.459018826
and kid says,0.313580364
nah,1
kids walking to school,0.426091164
gets rained on,0.399501652
he says,0.504161835
oops,0.99999994
so he turns around to go back,0.329628915
shes mad because she offered him,0.297405899
and but then she give him umbrella after all,0.334859878
and he goes to school somewhat wet but with an umbrella,0.235044464
did he learn,0.409056067
oh,0.999999881
the little girls pet cat managed to get up a tree and now cant,0.20597294
but Ive had plenty of cats come down from trees,0.225093275
I dont know what thats all about,0.371859103
the cat mighta been after a bird singing in the tree,0.277265787
so a guy tried to help by climbing up the tree,0.222794876
the dogs barking at the guy,0.310984284
and someone had the presence of mind to call the fire department,0.327554941
so somebody musta called the police,0.307759762
youknow less than half of all fire calls are not for fires but,0.257324785
its a xxx,0.390540302
well bearing in mind that what I know is only the n the,0.281550527
and not the xxx,0.356018186
yeah,1
so is is it better for me to just say what I think it is,0.356639415
I guess thats the one,0.349505365
yeah thats the one with the three sisters and a problematic,0.331992984
and the sisters two of the sisters were all vain and uppity,0.337758183
youknow the one that made Cinderella do all the work in the house,0.278398246
and they got invited to a ball fancy ball,0.256795377
and so they spent a bunch of money getting ready for the ball,0.265989542
and they went and left her behind,0.370083392
but I dont remember how she got how she got the magic,0.309613794
who gave her the magic stuff,0.276205271
yeah xxx,0.580649436
www,1.000000119
xxx,1
xxx,1
xxx invitation,0.417868257
oh the invitations for them,0.320805997
right,0.999999821
okay,0.99999994
I dont remember any of this,0.327100009
how she got her dress,0.389804304
I imagine young girls would remember all of that part of,0.312464744
so she somehow got her hands on a dress and ended up in the,0.250071198
and had she hadta leave at the stroke of midnight,0.276273459
so she wowedv everybody at the party and made her sisters,0.289286047
in fact I think they didnt even recognize who she was,0.309326261
and then when the clock started ringing she ran away eventhough,0.331382751
oh xxx,0.556762695
and she ran away and left behind the slipper because it fell off,0.278069526
a glass slipper xxx it was,0.280122399
and leaped into her carriage,0.359849423
and just as she got home it turned back into a pumpkin,0.268459231
and so the prince tried desperately to find the girl that he he,0.332957566
the the shoe was unusually small by the way,0.367081672
find me the person whose foot fits this,0.271225452
and so he had his lackeys go all over the kingdom fitting it on,0.264257133
and they finally found her,0.446536601
and he ends up marrying her,0.339949518
I cant remember what happens with the stepmother and the two girls,0.244853497
I think she doesnt treat them badly,0.342539698
I think she treats them shockingly well,0.413074732
and she lives happily ever after,0.370316148
does that sound,0.552871585
oh right,0.498126805
okay,0.99999994
okay,0.99999994
the bus is coming,0.341236979
the tour bus is coming,0.307354391
the tour bus is coming into the town,0.292292655
the tour bus is coming into the town to pick up the people,0.253877163
the tour bus is coming into town to pick up the people from the,0.253392577
the tour bus is coming into the town to pick up the people from the,0.273548394
xxx to say that backwards,0.332751781
alright,0.999999881
the dog chased the cat up the tree,0.313502759
the bird was caught by the worm,0.299321711
would you like to star in a movie,0.278155863
books like to read children,0.395715892
icecream tastes good in the summer,0.302864581
oh yeah,0.846038759
beautiful flowers smell the lovely woman,0.404414326
come to ten as fast as you can,0.281051785
the man saw the boy that the dog chased,0.311406016
tell me the name of the person next door,0.249622315
how many are in a dozen,0.296016812
the tiger was clawed by the lion,0.347063869
bad weather was caused by long airplane delays,0.273301542
well I guess one of the happier,0.316525698
and not on as a surprise to me it or a shock to me,0.27568841
and so meeting somebody,0.42253089
and getting married for the second time,0.37640065
and then having a real buddy and a pal aswellas someone you love,0.273278296
start it off with reading the newspaper at about,0.279283971
and I have different activities,0.432926476
Im Im pretty involved with curling,0.259382844
and I curl two atleast two times a week in the mornings,0.253440619
and sometimes not so much anymore but it was at one time,0.361361235
and thats one of the things that occupies alotof the time,0.355729312
Im also on the board of our condominium corporation,0.232140288
and Im treasurer of of that,0.271133333
so responsible for fucking no considerable amount of money,0.346167326
we have probably a million and a half to million and three quarters,0.301650465
and I,0.451039851
board meetings are about once a month,0.287274122
but theres also activities that are weekly,0.364230812
and summertime we do a little bit of traveling,0.269612432
a little winter a little bit of traveling in the wintertime,0.364237309
and a little bit of golf in the summertime,0.293402344
and that takes up most of my day,0.269823194
watching sports and television in in the evening particularly,0.452231526
the little boy is is playing with a soccer ball,0.275474876
